番号,タイトル,本文,文字数
11,PLG vs SLG vs ELG,"【2026年GTM戦略】PLG・SLG・ELGどれを選ぶ？\n\nPLG（Product-Led Growth）:\n・製品体験で売る / Notion, Figma\n・低単価×大量ユーザー向き\n\nSLG（Sales-Led Growth）:\n・営業で売る / Salesforce\n・高単価×エンプラ向き\n\nELG（Enterprise-Led Growth）:\n・エンプラ導入→社内展開 / Anthropic\n・信頼性重視の業界向き\n\n正解は「自社のACV」で決まる。\n$100以下→PLG\n$10K以上→SLG/ELG",260
12,ローンチ戦略の型,【バズるローンチ】Product Hunt成功の方程式\n\n① ローンチ前（2週間）\n・Hunterと関係構築\n・コミュニティでティーザー\n\n② ローンチ日\n・火曜〜木曜AM0:01（PST）開始\n・最初の4時間で票を集中\n\n③ ローンチ後\n・全コメントに返信\n・SNSでリアルタイム共有\n\n「準備8割、当日2割」\n\nProduct Hunt1位は「運」じゃなく「戦略」。,185
13,フリーミアムの設計,【フリーミアム設計】無料で使わせてどう稼ぐ？\n\n正解は「制限の場所」👇\n\n❌ 機能制限\n→無料で価値がわからない\n\n⭕ 使用量制限\n→価値がわかった上で「もっと使いたい」\n\n⭕ チーム機能制限\n→1人で使い始め→チームで課金\n\n⭕ 履歴・保存制限\n→使い込むほど課金したくなる\n\nCanva、Notion、Figma\n全部このパターン。,168
14,ネットワーク効果の作り方,【勝手に広がる】ネットワーク効果設計\n\n最強のグロースは「ユーザーが次のユーザーを連れてくる」\n\n作り方👇\n\n① 共有したくなる成果物\n→Canvaのデザイン、Figmaのプロトタイプ\n\n② コラボ機能\n→1人で完結しないワークフロー\n\n③ テンプレート共有\n→ユーザー作成コンテンツの流通\n\n「バイラル係数」を計測してる？\n1人が何人連れてくるか。\n\n1.0超えたら指数関数的成長。,192
15,ユーザー獲得チャネル最適解,【2026年UA最適解】どこでユーザー獲得する？\n\nコスパ順👇\n\n① SEO / コンテンツマーケ\n→長期投資だがCAC最安\n\n② プロダクト内バイラル\n→設計次第でCACゼロ\n\n③ コミュニティ / Discord / Slack\n→信頼構築に時間かかるが質高い\n\n④ インフルエンサー連携\n→短期効果×リーチ拡大\n\n⑤ 有料広告\n→スケールするがCAC高い\n\n個人開発者は①②③に集中が鉄則。,198
16,Xアルゴリズム攻略,【X攻略】2026年アルゴリズムの現実\n\n優先される投稿👇\n・リプライ獲得数（最重要）\n・画像/動画付き\n・フォロワー外へのリーチ実績\n\n避けるべき👇\n・外部リンク（露出激減）\n・連続投稿（スパム判定）\n・絵文字過多\n\nやるべき👇\n・スレッド投稿で滞在時間UP\n・1投稿1メッセージ\n・質問形式で反応促進\n\n「量」より「反応率」が全て。,168
17,X運用の投稿設計,【バズる投稿設計】反応が取れる型\n\n① 速報型\n「【速報】〇〇が△△を発表」\n\n② 対比型\n「今まで→これから」\n\n③ リスト型\n「〇〇な人の特徴5選」\n\n④ 告白型\n「正直に言うと...」\n\n⑤ 質問型\n「どっち派？A or B」\n\n型を持つと「何書こう」がなくなる。\n毎日1つずつ使い回すだけ。,149
18,エンゲージメント向上テクニック,【反応率3倍】今すぐできること\n\n① 投稿後30分は張り付く\n→初動リプに即返信\n\n② 引用RTを促す\n「あなたの意見は？」\n\n③ アンケート機能活用\n→参加ハードル最低で反応UP\n\n④ 定時投稿\n→フォロワーの習慣化\n\n⑤ 他人の投稿にリプで露出\n→自分の投稿より他人への反応\n\n「発信」と「反応」は1:1が理想。,158
19,フォロワー1000人までのロードマップ,【0→1000人】最短ルート\n\n月1-3: ニッチ決定\n・「AIマーケ」「SaaSグロース」など絞る\n・プロフィール最適化\n\n月1-3: 毎日投稿習慣\n・質より継続\n・1日3-5投稿\n\n月4-6: 型の確立\n・反応良かった投稿を分析\n・勝ちパターンを繰り返す\n\n月4-6: 交流強化\n・同ジャンル垢にリプ\n・引用RTで認知拡大\n\n1000人は「続けた人」が到達する。,183
20,X運用の時間効率化,【1日30分でX運用】\n\n朝10分:\n・リプ返信処理\n・今日の投稿を予約\n\n昼5分:\n・反応チェック\n・追いリプ\n\n夜15分:\n・ネタ収集（海外ツイート見る）\n・翌日投稿下書き\n\nツール:\n・Buffer / Typefully で予約投稿\n・TweetDeck で監視\n・ChatGPT で下書き生成\n\n仕組み化すれば30分で十分。,167
